name,singer,lyrics
2 minutes 35 de bonheur,Carlos et Sylvie Vartan,"Chaque soir tu vas chanter\nPourtant tu n'es pas vraiment loin de moi\nJe n'suis pas tout à fait abandonnée\nSi je m'ennuie je peux retrouver ta voix\n\nJ'écoute un disque de toi\nÇa fait 2 minutes 35 de bonheur\nEt ça me donne quand tu n'es pas là\nUn petit peu de joie dans le cœur\n\nJe peux m'imaginer\nQue j'fais tout c'que je veux de toi\nJe te ferai dire ce qu'il me plaît\nEt tu me dis cent fois\nOh je n'aime que toi\n\nLe disque est un peu rayé\nJe l'ai fait jouer tant et tant de fois\nEt les paroles se sont effacées\nMais je devine encore ta voix\n\nChaque soir je peux chanter\nPourtant je ne suis pas vraiment loin de toi\nTu n'es pas tout à fait abandonnée\nEt tu sais que je n'aime que toi\n\nJe peux m'imaginer\nQue j'fais tout c'que je veux de toi\nJe te ferai dire ce qu'il me plaît\nEt tu me dis cent fois\nOh je n'aime que toi\n\nJ'écoute un disque de toi\nÇa fait 2 minutes 35 de bonheur\nEt ça me donne quand tu n'es pas là\nUn tout petit peu de joie dans le cœur\nUn p'tit peu de joie dans le cœur\n\nChaque soir, je vais chanter\nPourtant je ne suis pas vraiment loin de toi\nTu n'es pas tout à fait abandonnée\nEt tu sais bien que je n'aime que toi\n\nUn p'tit peu de joie dans le cœur"
22,Lily Allen & Ours,"Hey Lily, raconte-nous\n\nWhen she was 22, the future looked bright \nBut she's nearly 30 now, and she's out every night\nI see that look in her face, she's got that look in her eye \nShe's thinking ""how did I get here?"", and wondering why  \n\nIt's sad but it's true\nHow society says her life is already over (over)\nThere's nothing to do\nAnd there's nothing to say  \nC'est vrai Lily, c'est vrai\nElle voit la vie en duo\nVoit la suite du haut de ses épaules et de son dos\nElle envoie des mots\nDes mots qui tombent à l'eau\n\nElle dit que sa vie se réduit, à un petit étui, \nElle a plus la pupille qui brille qui scintille et qui pétille\nAssis par terre et pas très fière, de sa petite carrière \nLoin de ce qu'elle rêvait hier, solitaire trent'naire  \n\nIt's sad but it's true\nHow society says her life is already over (over)\nThere's nothing to do\nAnd there's nothing to say\nElle voit la vie en duo\nVoit la suite du haut de ses épaules et de son dos\nElle envoie des mots\nDes mots qui tombent à l'eau\n\n[ pont musical ]\n\nIt's sad but it's true\nHow society says her life is already over (over)\nThere's nothing to do\nAnd there's nothing to say\nElle voit la vie en duo\nVoit la suite du haut de ses épaules et de son dos\nElle envoie des mots\nMais des mots qui tombent à l'eau  \n\nMerci Lily"
28° à l'ombre,Jean-François Maurice,"Monaco...\n28° à l'ombre,\nc'est fou, c'est trop\nOn est tout seuls au monde,\ntout est bleu, tout est beau\nTu fermes un peu les yeux, le soleil est si haut,\nje caresse tes jambes, mes mains brûlent ta peau  (ahahah...)  \n\nNe dis rien,\nembrasse-moi quand tu voudras\nJe suis bien,\nl'amour est à côté de toi  (ahahah...)  \n\nOn est bien (ahahah...) \n\n_  _  _\nMonaco...\n28 degrés à l'ombre,\ntu ne dis plus un mot\nJ'éteins ma cigarette,\nil fait encore plus chaud\nTes lèvres ont le goût d'un fruit sauvage\nEt voilà!\nComme une vague blonde,\ntu m'emportes déjà\n\nNe dis rien,\nl'amour est au-dessus de moi (ahahah...)"
4 mots sur un piano,Jean-Jacques Goldman & Patrick Fiori & Christine Ricol,"Quatre mots sur un piano\nCeux qu'elle a laissés\nQuatre c'est autant de trop\nJe sais compter\n\nQuatre vents sur un passé\nMes rêves envolés\nMais qu'aurait donc cet autre que je n'ai\nNe le saurai-je jamais\n\nCas très banal cliché\nDénouement funeste\nTrois moins deux qui s'en vont \nÇa fait moi qui reste\n\nCaresses égards et baisers\nJe n'ai pas su faire\n""La partager"" me soufflait Lucifer\nDepuis je rêve d'enfer\n\nMoi j'aurais tout fait pour elle\nPour un simple mot\nQue lui donne l'autre que je n'offrirais\nElle était mon vent mes ailes\nMa vie en plus beau\nÉtait-elle trop belle \nOu suis-je trop sot\nN'aime-t-on jamais assez\n\nQuatre années belles à pleurer\nMaigre résumé\nCartes jouées \nMais la Reine s'est cachée\n\nQuatre millions de silences\nDe regrets qui dansent\nLes questions, les soupirs et les sentences\nJe préférais ses absences\n\nMoi j'aurais tant fait pour elle\nPour boire à son eau\nQue lui donne l'autre que je n'offrirais\nElle était mon vent, mes ailes\nMa vie en plus beau \nMais était-elle trop belle\nOu bien nous trop sots\nN'aime-t-on jamais assez\n\nVous étiez ma vie comme la nuit et le jour\nVous deux, noués, filiez mon parfait amour\nUn matin vous m'avez condamnée à choisir\nJe ne vous aimais qu'à deux\nJe vous laisse, adieu\nChoisir serait nous trahir\n\n[ Pont musical ]\n\nMais qu'aurait donc cet autre que je n'ai\nLe saurai-je jamais \n""La partager"" me soufflait Lucifer\nDepuis je rêve d'enfer"
40 %,Aya Nakamura,"Aya Nakamura\nAh tu connais quoi il veut me manipuler\nFais doucement tu pourrais m'envoûter\nJ'vois qu'tu galères à passer le step\nParler dans ma tête, c'est mort, j't'envoie balader\nMais j't'avais dit qu'j'étais savage\nÀ vrai dire j'suis pas très sage\nEt tu vois bien ce que j'dégage \n<br />\nJ'suis trop charismatique yeah \nTu kiffes mes timiniks \nIl m'a dit baby, mama pardon\nFais doucement j'pète les plombs\nY a comme un hic \n<br />\nEt quand tu mens comme ça\nJ'suis qu'à 40% \nTu fais la gueule arrête-moi ça\nC'était qu'un jeu, redescends\nMais mon Dieu que c'est doux\nWallah j'le mène à bout\nIl est piqué, c'est pas compliqué\nBébé, pour toi y a tout pour toi y a tout\nJ'ai changé la donne j'vais le dominer yeah \n<br />\nJ'sais pas pour qui tu m'as pris\nJ'ai capté la tactique ram-pam-pam \nJ'crois bien que tu l'as senti\nT'as loupé le coche\nDe la gâchette ça fait ram-pam-pam \nToc toc toc, mais qui va là ?\nJ'ai eu ma dose stop, qui va là ?\nTu t'approches je m'éloigne\nEt maintenant tu veux deviner mes failles \n<br />\nJ'suis trop charismatique\nTu kiffes mes timiniks \nIl m'a dit baby, mama pardon\nFais doucement j'pète les plombs\nY a comme un hic \n<br />\nEt quand tu mens comme ça\nJ'suis qu'à 40% \nTu fais la gueule arrête-moi ça\nC'était qu'un jeu, redescends\nMais mon Dieu que c'est doux\nWallah j'le mène à bout\nIl est piqué, c'est pas compliqué\nBébé, pour toi y a tout pour toi y a tout\nJ'ai changé la donne j'vais le dominer \n<br />\nPourquoi tu mens comme ça (j't'envoie balader)\nFaut qu'tu cesses (j't'envoie balader)\nPourquoi tu mens comme ça (j't'envoie balader)\nFaut qu'tu cesses oh yeah\n \n\nEt quand tu mens comme ça\nJ'suis qu'à 40% (j't'envoie balader)\nTu fais la gueule arrête-moi ça (oh-oh)\nC'était qu'un jeu, redescends (eh)\nMais mon Dieu que c'est doux, wallah j'le mène à bout\nIl est piqué, c'est pas compliqué\nBébé, pour toi y a tout pour toi y a tout\nJ'ai changé la donne j'vais le dominer \n\nMais mon Dieu que c'est doux\nWallah j'le mène à bout\nIl est piqué, c'est pas compliqué\nBébé, pour toi y a tout pour toi y a tout\nJ'ai changé la donne j'vais le dominer\nIl est piqué, c'est pas compliqué\nIl est, il est piqué, c'est pas compliqué\nBébé, pour toi y a tout pour toi y a tout\nJ'ai changé la donne j'vais le dominer"
69 année érotique,Serge Gainsbourg et Jane Birkin,Gainsbourg et son Gainsborough\nOnt pris le ferry-boat\nDe leur lit par le hublot\nIls regardent la côte\nIls s'aiment et la traversée\nDurera toute une année\nIls vaincront les maléfices\nJusqu'en soixante-dix\n\n69 année érotique   (x 2) \n\nGainsbourg et son Gainsborough\nVont rejoindre Paris\nIls ont laissé derrière eux\nLa Tamise et Chelsea\nIls s'aiment et la traversée\nDurera toute une année\nEt que les dieux les bénissent\nJusqu'en soixante-dix \n\n69 année érotique   (x 2) \n\n[Instrumental] \n\nIls s'aiment et la traversée\nDurera toute une année\nIl pardonnera ses caprices\nJusqu'en soixante-dix \n\n69 année érotique   (x 2)
7 heures du matin,Jacqueline Taïeb,"Il est sept heures du matin\nFaut s'réveiller\nAh, j'ai sommeil!\n\nBon alors, un peu de musique pour se mettre en train\nJ'sais pas, moi\nQuelque chose comme\n""Talking about my ge-ge-ge-generation""\nOuais, c'est pas tout à fait ça!\n\nJ'trouve plus ma brosse à dents!\nOù est-elle passée, celle-là encore?\nLa bleue est à mon père\nLa rouge est à ma mère\nLa jaune est à mon frère\nZ'avez pas vu ma brosse à dents?\n\nTiens, on est lundi aujourd'hui\nAh, pour demain, j'ai un devoir d'anglais\nHum, j'aimerais bien avoir Paul McCartney\nPour m'aider!\n\nJ'ai envie de mettre un disque pour embêter les voisins\nQui roupillent toute la journée\nQuelque chose comme un bon Elvis Presley\nAh, c'est vrai, celui-là, il en est resté à\n""Be bop boum rock bam boum""\n\nUn peu d'eau sur la figure pour me réveiller\nLe dodo c'est terminé!\nJe suis presque prête et ça va beaucoup mieux\nJe mets mon shetland rouge ou bien mon shetland bleu?\n\nMon shetland rouge?\nMon shetland bleu?\nMon shetland bleu\nHum, son shetland rouge\n\nMon shetland bleu\nMon shetland rouge\nHum, le bleu\nLe bleu, le rouge\nMon shetland rouge"
ABC pour casser,Peter Kitsch et Olivia,"Mais quel culot tu A\nOui j'en reste bouche B\nVraiment je suis la C\nDe me faire bala D\nPour te faire mes adi E <!-- ou « des adi E » ? -->\nJe tâcherai d'être br F\nMais\n\nPour casser avec toi\nUne lettre ne suffit pas\nAvec toi, pour casser\nIl faut l'alphabet tout entier\n\nAlors on continue <!-- pas dans toutes les versions écoutées -->\n\nTu ne trouves pas que c'est un peu lé G\nTout ce que tu me rab H\nMettons les points sur les I\nJ'vois bien qu'tu mens, tu rou J\nN'aggrave pas ton K\nJe sais l'amour est cru L\nNe dis pas que tu m' M\nAvec cette de tête de Sue Elle N\nTon nez pousse comme Pinocchi O\nEt ça ne me fait plus tri P\nEh ouais\n\nPour casser avec toi\nUne seule lettre, ça ne suffit pas\nAvec toi, pour casser\nIl faut l'alphabet tout entier\n\nOuais <!-- pas dans toutes les versions écoutées -->\nABCDEFGHIJKLMNOPQRSTUVWXY ... Z\n\nRien qu'une histoire de Q\nSi on regarde en arri R\nOn a connu l'ivre S\nPuis tu m'as filou T\nAh ça, tu m'as bien U\nMais cette fois j'me casse, je m'en V\nLe temps de démarrer la BM W\nL'histoire est classée X\nVa t'faire voir chez l' Y <!-- « les Y » ? -->\nJe signerai d'un Z\n\nPour casser avec toi\nUne lettre ne suffit pas\nAvec toi, pour casser\nIl faut l'alphabet tout entier\n\nPour casser avec toi\nUne seule lettre, ça ne suffit pas\nAvec toi, pour casser\nIl faut l'alphabet tout entier\n\nABCDEFGHIJKLMNOPQRSTUVWXY ... Z"
Adam et Ève,Sheila,"(x 2)\nAdam et Ève, c'est toi et moi\nOn est faits tous deux pour vivre ensemble\nAdam et Ève, c'est toi et moi\nEt pour nous la vie commence\n \n\nRien n'a existé, rien ne s'est passé\nAvant que l'on se rencontre\nLe monde aujourd'hui est mécanisé\nMais l'amour n'a pas changé \n<br />\nAdam et Ève, c'est toi et moi\nOn est faits tous deux pour vivre ensemble\nAdam et Ève, c'est toi et moi\nEt pour nous la vie commence \n<br />\nTu es mon premier homme\nEt je suis ta première femme\nL'un à l'autre on s'est donné une âme\nTu es mon guide\nJe veux te suivre\nSincère et attentive \n\nAdam et Ève, c'est toi et moi\nOn est faits tous deux pour vivre ensemble\nAdam et Ève, c'est toi et moi\nEt pour nous la vie commence \n\nChaque instant de pluie\nDe ténèbres ou de soleil\nDevient un signe providentiel\nDepuis ce tendre\nPremier matin\nConfiante je t'appartiens \n\nAdam et Ève, c'est toi et moi\nOn est faits tous deux pour vivre ensemble\nAdam et Ève, c'est toi et moi\nEt pour nous la vie commence \n\nAh ah ah  (x 5) \n\n(x 5)\nAdam et Ève, c'est toi et moi\nOn est faits tous deux pour vivre ensemble\nAdam et Ève, c'est toi et moi\nEt pour nous la vie commence \n\nAdam et Ève, c'est toi et moi"
Adieu (Cœur de pirate),Cœur de pirate,"Tu ris si mal, tu ris de vide\nDes taches de vin sur ta chemise\nQui à deux boutons éclatait\nSur ton corps qui me repoussait\nTu fais l'amour en deux poussées\nBlâmant le manque, la tournée\nEt pendant que tu t'articules\nMoi je soupire et toi tu me menaces de partir\nParce que je hurle quand tu chantes tes souvenirs\nEh bien chéri, prends donc la porte\nCar tu sais que plus rien ne m'importe \n\nMais dis-moi adieu demain\nMais dis-moi adieu en chemin\nVa voir les autres, je n'en pense rien\nJe t'ai aimé mais je t'assure que c'est la fin \n\nCrois-tu pouvoir enfin me dire\nQue tu veux bien qu'on reste amis\nNon c'est gentil ça va comme ça\nDes amis j'en ai plein déjà\nJe n'aurai donc plus à t'entendre\nRentrer la nuit quand j'attends l'aube\nQui arrive en poussant les heures\nMoi je me lève et toi tu me menaces de partir\nParce que je hurle quand tu chantes tes souvenirs\nEh bien chéri, prends donc la porte\nCar tu sais que plus rien ne m'importe \n\n(x 2)\nMais dis-moi adieu demain\nMais dis-moi adieu en chemin\nVa voir les autres, je n'en pense rien\nJe t'ai aimé mais je t'assure que c'est la fin"
Adieu Monsieur le professeur,Hugues Aufray,Les enfants font une farandole\nEt le vieux maître est tout ému\nDemain il va quitter sa chère école\nSur cette estrade il ne montera plus \n\nAdieu monsieur le professeur\nOn ne vous oubliera jamais\nEt tout au fond de notre cœur\nCes mots sont écrits à la craie\nNous vous offrons ces quelques fleurs\nPour dire combien on vous aimait\nOn ne vous oubliera jamais\nAdieu monsieur le professeur \n\nUne larme est tombée sur sa main\nSeul dans la classe il s'est assis\nIl en a vu défiler des gamins\nQu'il a aimés tout au long de sa vie\n\nAdieu monsieur le professeur\nOn ne vous oubliera jamais\nEt tout au fond de notre cœur\nCes mots sont écrits à la craie\nNous vous offrons ces quelques fleurs\nPour dire combien on vous aimait\nOn ne vous oubliera jamais\nAdieu monsieur le professeur \n\nDe beaux prix sont remis aux élèves\nTous les discours sont terminés\nSous le préau l'assistance se lève\nUne dernière fois les enfants vont chanter \n\nAdieu monsieur le professeur\nOn ne vous oubliera jamais\nEt tout au fond de notre cœur\nCes mots sont écrits à la craie\nNous vous offrons ces quelques fleurs\nPour dire combien on vous aimait\nOn ne vous oubliera jamais\nAdieu monsieur le professeur\n\nAdieu monsieur le professeur\nOn ne vous oubliera jamais
Adieu jolie Candy,Jean-François Michaël,Adieu jolie Candy\nC'est à Orly\nQue finissent \nLes vacances à Paris\n\nAdieu jolie Candy\nUne voix t'appelle\nC'est l'heure\nDéjà de t'en aller\nDans cet avion\nQui t'emmène vers l'Angleterre\n\nAdieu jolie Candy\nTu m'écriras\nTu le dis\nMais on dit toujours ça\n\nAdieu jolie Candy\nJe regretterai\nTon sourire\nEt tes fautes de français\nMais cet avion\nTe ramène en Angleterre\n\nAdieu jolie Candy   (x 2)\nJe deviendrai \nUn souvenir\nUne photo de vacances\n\nAdieu jolie Candy\nCelui qui t'aime\nLà-bas\nIl a bien de la chance\n\nAdieu Candy\nAdieu   (x 2)
Adieu les jolis foulards,Chantal Goya,"Adieu mes petits élèves de la Martinique\nJe fais la classe aujourd'hui pour la dernière fois\nOn me renvoie vers la France adieu la Martinique\nMais tout là-bas je ne vous oublierai pas \n\nAdieu les jolis foulards\nAdieu tous les madras\nSi ce n'est qu'un au revoir\nOn se retrouvera\nJ'emporterai dans mon cœur un peu de ce pays\n(Vous resterez dans nos cœurs Mademoiselle aussi)\nAdieu les jolis foulards\nAdieu tous les madras\nSi ce n'est qu'un au revoir\nOn se retrouvera\nC'est comme ça on n'y peut rien il y a dans la vie\nToujours un jour où l'école est finie\n\nN'oubliez pas votre histoire, votre géographie\nSouvenez-vous de l'histoire de Napoléon\nQui épousa Joséphine qui dans ce pays\nRécita ses toutes premières leçons\n\nAdieu les jolis foulards\nAdieu tous les madras\nSi ce n'est qu'un au revoir\nOn se retrouvera\nJ'emporterai dans mon cœur un peu de ce pays\n(Vous resterez dans nos cœurs Mademoiselle aussi)\nAdieu les jolis foulards\nAdieu tous les madras\nSi ce n'est qu'un au revoir\nOn se retrouvera\nC'est comme ça on n'y peut rien il y a dans la vie \n\n\n\nAdieu la petite école cachée sous les palmiers\nIl faut oublier l'école et les punitions\nAdieu jolies farandoles que l'on a dansées\nAmis chantons notre dernière chanson\n\n(x 2)\nAdieu les jolis foulards\nAdieu tous les madras\nSi ce n'est qu'un au revoir\nOn se retrouvera\nJ'emporterai dans mon cœur un peu de ce pays\n(Vous resterez dans nos cœurs Mademoiselle aussi)\nAdieu les jolis foulards\nAdieu tous les madras\nSi ce n'est qu'un au revoir\nOn se retrouvera\nC'est comme ça on n'y peut rien il y a dans la vie\nToujours un jour où l'école est finie"
Adieu mon bébé chanteur,Alain Chamfort,"Tu chantes trop, tu aimes trop les hommes et la vie\n(Adieu mon cœur, mon bébé chanteur)\nTu chantes dans les bras de qui te trouve jolie\n(Adieu mon cœur, mon bébé chanteur)\nWo wo wo\nC'est dommage, on n'a pas toujours\nLes mêmes idées sur les choses de l'amour\nAlors adieu mon cœur, adieu mon bébé chanteur\n\nLa vie, la vie, elle est jolie, tu lui sautes au cou\n(Adieu mon cœur, mon bébé chanteur)\nEt des principes tu n'en as jamais eu beaucoup\n(Adieu mon cœur, mon bébé chanteur)\nWo wo wo\nSur la ville quand vient le soleil\nC'est difficile d'être à la fois belle et fidèle\nAlors adieu mon cœur, adieu mon bébé chanteur\n\nImagine comme on est tous les deux\nOn n'était pas fait pour être heureux\nOn n'avait rien en commun\nMoi je vivais dans mon coin\nJour et nuit tu n'aimais que sortir\nVoir le monde, c'était ton plaisir\nEt tu as même rêvé \nD'être une célébrité\n\nTu aimes trop la vie, tu aimes un peu trop chanter\n(Adieu mon cœur, mon bébé chanteur)\nTu chantes dans les bras de qui veut bien t'écouter\n(Adieu mon cœur, mon bébé chanteur)\nWo wo wo\nJe t'aimais malheureusement\nMais il vaut mieux partir pendant qu'il en est temps\nAlors adieu mon cœur, adieu mon bébé chanteur\n\n(Adieu mon cœur, mon bébé chanteur)   (x2)\nWo wo wo\nJe t'aimais malheureusement\nMais il vaut mieux partir pendant qu'il en est temps\nAlors adieu mon cœur, adieu mon bébé chanteur\nWoho wo\nAlors adieu mon cœur, adieu mon bébé chanteur"
Adolescente Pirate,Léa Paci,Un peu saoule je déambule\nSur les lignes du métro\nCrépuscule sans héros\nSolitude dans l'rétro\nJ'éteins mon mégot\nSur le cœur des Jedis\nLes yeux vitreux\nJe les mitraille \n\nUn peu saoule sans matricule\nJ'écume la nuit noire\nJe consomme du bonheur\nQue j'perds sans savoir\nJe t'oublie quand j'me déhanche\nJe souris sauf le dimanche\nJ'ai le cœur balançoire\nJ'passe des rêves aux cauchemars \n\nMes espoirs se brisent\nAdolescente pirate\nSur les plages de bitume\nChaque nuit je m'évade\nJe voyage    (x 4)\nJe voyage    (x 4) \n\nJ'n'écoute plus ces léopards\nQui me racontent des histoires\nSous leur blouse de motards\nAccoudés au bar\nJ'éteins leur ego\nJe n'aime plus leur regard\nJ'ai le cœur balançoire\nJ'passe des rêves aux cauchemars \n\nMes espoirs se brisent\nAdolescente pirate\nSur les plages de bitume\nChaque nuit je m'évade\nJe voyage    (x 4)\nJe voyage    (x 4) \n\nJe voyage   (x 4)\nJe voyage   (x 4) \n\nJe m'ennuie dans l'attente\nJe détruis c'qui me tente\nJe n'suis qu'une fille de mon âge\nQui dégringole de la pente\nJe n'ai qu'un œil dans la fente\nJe n'ai qu'un doigt sur la tempe\nEt si je rate le virage\nInscris mon nom aux absents \n\n(x 2)\nMes espoirs se brisent\nAdolescente pirate\nSur les plages de bitume\nChaque nuit je m'évade\nJe voyage    (x 4)\nJe voyage    (x 4)
Adélaïde,Arnold Turboust et Zabou Breitman,Adélaïde vous êtes belle\nMes yeux sont fixés sur la mouche\nAdélaïde qui m'ensorcelle\nMouche si près de la bouche \n\nDe temps en temps je vous observe\nQuand votre singe vous promenez\nVotre mouchoir je désespère\nUn jour de voir tomber \n\nCher ami vous n'y pensez pas\nTout ce que vous me dites là\nJe n'y crois je n'y crois\nJe n'y crois pas \n\nSi vous pouviez\nSeulement m'écouter\nSi vous poussiez\nJusqu'à me regarder\nTout ce que je ferais pour vous Adélaïde \n\nCes jours derniers j'ai cru remarquer\nVos yeux sur moi parfois se posent\nEt d'espérer je ne puis m'empêcher\nEn parler enfin je l'ose \n\nMademoiselle Adélaïde\nDe vous épris oui je le suis\nJe voudrais vous servir de guide\nTout au long de ma vie\n\nCher ami vous vous méprenez\nVous allez m'indisposer\nVous allez vous allez m'agacer\n\nAccepteriez-vous de danser\nAvec moi ce soir\nQuelques menuets\n\nVous feriez mieux de me laisser\nVous allez finir par me lasser\nVous m'agacez m'indisposez\nJeune freluquet ! \n\nSi vous aviez\nSeulement pu m'écouter\nSi j'avais pu\nDe vous me faire aimer\nTout ce que j'aurais fait pour vous Adélaïde
Africa,Rose Laurens,Je suis amoureuse d'une terre sauvage\nUn sorcier vaudou m'a peint le visage\nSon gri-gri me suit au son des tam-tams\nParfum de magie sur ma peau blanche de femme\n\nAfrica\nJ'ai envie de danser comme toi\nDe m'offrir à ta loi\nAfrica\nDe bouger à me faire mal de toi\nEt d'obéir à ta voix\nAfrica\n\nJe danse pieds nus sous un soleil rouge\nLes dieux à genoux ont le cœur qui bouge\nLe feu de mon corps devient un rebelle\nLe cri des gourous a déchiré le ciel\n\nAfrica \nJ'ai envie de danser comme toi\nDe m'offrir à ta loi\nAfrica\nDe bouger à me faire mal de toi\nEt d'obéir à ta voix\nAfrica\n\nDangereuse et sensuelle sous ta pluie sucrée\nPanthère ou gazelle je me suis couchée\nAu creux de tes griffes je suis revenue\nÀ l'ombre des cases je ferai ma tribu\n\nAfrica \nJ'ai envie de danser comme toi\nEt d'obéir à ta voix\nAfrica   (x 2)\n\n(x 4)\nJe suis amoureuse d'une terre sauvage\nUn sorcier vaudou m'a peint le visage\nSon gri-gri me suit au son des tambours\nParfum de folie magie de l'amour
Afrique adieu,Michel Sardou,"(Afrique adieu, belle Africa\nOù vont les eaux bleues du Tanganyika)\nAfrique adieu, belle Africa\nOù vont les eaux bleues du Tanganyika\nAfrique adieu, ton cœur samba\nSaigne autant qu'il peut, ton cœur s'en va\n\nIl pleut des oiseaux aux Antilles\nSur des forêts de magnolias\nLes seins dorés brûlants des filles\nPassent à deux pas de mes dix doigts \n\nDes musiciens de Casamance\nAux marabouts de Pretoria\nC'est tout un peuple fou qui danse\nComme s'il allait mourir de joie \n\nAfrique adieu, belle Africa\nOù vont les eaux bleues du Tanganyika\nAfrique adieu, ton cœur samba\nSaigne autant qu'il peut, ton cœur s'en va\n\nSur les étangs de Malawi\nLa nuit résonne comme un signal\nC'est pour une fille de Nairobi\nQu'un tambour joue au Sénégal \n\nEt de Saint-Louis à Yaoundé\nDes lacs salés au vieux Kenya\nC'est tout un peuple qui va danser\nComme s'il allait mourir de joie\n\n[Instrumental]\n\n(Afrique adieu, ton cœur samba\nSaigne autant qu'il peut, ton cœur s'en va)\n(Afrique adieu, belle Africa\nOù vont les eaux bleues du Tanganyika)\n\nAfrique adieu, tes masques de bois\nN'ont plus dans leurs yeux l'éclair d'autrefois\nAfrique adieu, là où tu iras\nLes esprits du feu danseront pour toi\n\n(x 2)\nAfrique adieu, belle Africa\nOù vont les eaux bleues du Tanganyika\nAfrique adieu, ton cœur samba\nSaigne autant qu'il peut, ton cœur s'en va"
Ah ! Si j'étais riche…,Ivan Rebroff,"Seigneur tu as mis au monde\nBeaucoup, beaucoup trop de pauvres gens\nMais s'il n'y a pas de honte à être pauvre\nIl n'y a pas de quoi en être fier non plus\nQuel mal y aurait-il\nSi j'avais une petite, petite fortune \n\nAh si j'étais riche\nDiguedadedadedadedadedadedadedaaaah\nAh si j'étais\nDiguediguerich, daydedaydedaydemoi, eh\nAdieu la charrette\nDiguedadedadedadedadedadedadedaaaah\nTous les jours j'ai\nDiguediguerich, daydedaydedaydemoi \n\nJe bâtirais un vrai palais\nMontant jusqu'au ciel\nSur la place du marché\nDes murs plantés bien droit\nSous un toit doré\nUn escalier de marbre\nUn autre tout en bois\nL'un pour entrer l'autre pour sortir\nEn encore un troisième pour la joie \n\nEt plein ma cour\nDes oies, des coqs et des poules\nToute la ville m'envierait\nCar ça piaillerait\nÇa caquetterait\nEt chaque 'cot cot cot  cot gron gron gron\nSonnerait comme un vrai coup de clairon\nRegardez tous admirez ma maison \n\nAh si j'étais riche\nDiguedadedadedadedadedadedadedaaaah\nAh si j'étais \nDiguediguerich, daydedaydedaydemoi, eh\nAdieu la charrette\nDiguedadedadedadedadedadedadedaaaah\nAh si j'étais \nDiguediguerich, daydedaydedaydemoi \n\nJe vois d'ici ma gironde\nBelle comme une bourgeoise\nAvec un double menton\nNous faisant manger tout ce qui lui plaît\nJe la vois se pavanant\nAvec sa robe à traîne\nÔ mon Dieu quelle dignité\nMême quand elle dispute les valets \n\nLes plus gros bonnets de la ville\nMe feraient des courbettes\nIls me demanderaient conseil\nComme à Salomon le Sage\nS'il vous plaît permettez bien\nExcusez, permettez bien\nMille problèmes à coller\nLe grand Rabbin\nBoy   (x 10) \n\nQue je dise blanc\nQue je dise noir\nIl faudra bien me croire\nQuand t'es riche\nTu as toujours raison \n\nSi j'étais riche\nJ'aurais enfin tout le temps d'aller\nPrier à la synagogue\nAssis au premier rang\nJe verras bien\nEt je discuterais\nLa loi avec les anciens\nAu moins sept heures par jour\nDans la réflexion et dans l'amour \n\nAh si j'étais riche\nDiguedadedadedadedadedadedadedaaaah\nTous les jours je  \nDiguediguedoum, ah si j'étais riche moi eh\nAdieu la charrette\nDiguedadedadedadedadedadedadedaaaah\nDieu qui fit le ciel et les étoiles\nEst-ce que ça t'aurait donné du mal\nDe changer ton plan phénoménal et\nEt me faire riche, moi\nHey"
Ah le petit vin blanc,Lina Margy,"Voici le printemps, la douceur du temps\nNous fait des avances\nPartez mes enfants, vous avez 20 ans,\nPartez en vacances\n\nVous verrez agiles,\nSur l'onde tranquille,\nLes barques dociles au bras des amants\nDe fraîches guinguettes,\nDes filles bien faites\nY a des chansonnettes et y a du vin blanc\n\nAh, le petit vin blanc\nQu'on boit sous les tonnelles\nQuand les filles sont belles\nDu côté de Nogent\nEt puis de temps de temps\nUn air de vieille romance\nSemble donner la cadence\nPour fauter, pour fauter\nDans les bois, dans les prés\nDu côté, du côté de Nogent\n\nSuivons le conseil\nMonsieur le Soleil\nConnaît son affaire\nCueillons, en chemin\nCe minois mutin\nCette robe claire\nVenez belle fille\nLà, sous la charmille\nSoyez bien gentille\nL'amour nous attend\nLes tables sont prêtes\nL'aubergiste honnête\nY a des chansonnettes\nEt y a du vin blanc\n\nAh, le petit vin blanc\nQu'on boit sous les tonnelles\nQuand les filles sont belles\nDu côté de Nogent\nEt puis de temps de temps\nUn air de vieille romance\nSemble donner la cadence\nPour fauter, pour fauter\nDans les bois, dans les prés\nDu côté, du côté de Nogent\n\nÀ ces jeux charmants\nLa taille souvent\nPrend de l'avantage\nCe n'est pas méchant\nÇa finit tout le temps\nPar un mariage\nLe gros de l'affaire\nC'est lorsque la mère\nDemande, sévère\nÀ la jeune enfant\n""Ma fille raconte\nComment, triste honte\nAs-tu fait ton compte?\nRéponds, je t'attends""\n\nAh, le petit vin blanc\nQu'on boit sous les tonnelles\nQuand les filles sont belles\nDu côté de Nogent\nEt puis de temps de temps\nUn air de vieille romance\nSemble donner la cadence\nPour fauter, pour fauter\nDans les bois, dans les prés\nDu côté, du côté de Nogent\n\nCar c'est toujours pareil\nTant qu'y aura du soleil\nOn verra les amants au printemps\nS'en aller pour fauter\nDans les bois, dans les prés\nDu côté, du côté de Nogent"
